"","alpha v BMV - w/ CETES 364D","beta v BMV - w/ CETES 364D","r-squared","standar deviation","Sharpe Ratio - w/ CETES 364D"
"BMV",-3.43605400016196e-18,1,1,0.191690714231397,0.0764375582861496
"ACCIPAT B0-B",0.106694552528114,0.311950610897451,0.322845949911658,0.10424461469531,1.06734883782927
"ACCIPAT C0-B",0.107295487274596,0.313145583594006,0.324287534125994,0.104419714429242,1.0714816917983
"ACTICRE B",0.0193549245784601,0.385134185083982,0.441617709854703,0.112363013686802,0.222475816484576
"ACTICRE FF",0.0509882874517849,0.396247227343702,0.442878292529487,0.115352345900599,0.492354516513231
"ACTINTK FF",-0.361273879532911,-0.119220386139981,0.00984359267725892,0.222942391982724,-1.62831634455252
"ACTIPAT B",0.031188841630045,0.27308982634775,0.412394606585516,0.0817876553207514,0.430263646875467
"ACTIPAT FF",0.0584694919317633,0.241632472800915,0.391963798063068,0.0746218713893444,0.830989349463271
"ACTIVAR B",-0.00124130382474517,0.238056009466704,0.351805333591011,0.0768867431950278,0.0292219548795774
"ACTIVAR FF",0.0173608192436413,0.228020303555175,0.343637581829733,0.0745779215767548,0.27758694119561
"B+RV F",0.0506993097128069,0.261632677650151,0.436125326201466,0.0769486337658991,0.708691576160773
"B+RV GB",0.0464921768582819,0.259565574251045,0.435638078325261,0.076413797820938,0.658198246423781
"B+RV NC",-0.0057032506515441,-0.0723456200904104,0.0619467140684586,0.0534243854765288,-0.126595474986435
"B+RV P",0.0191506884829667,0.262971794498494,0.452789088283,0.0761642903762195,0.302029316353227
"B+RV PV",0.025716423453453,0.255196606120752,0.434800765019322,0.0752115290990193,0.39163754464466
"BMERCRE GB",-0.0025201720952145,0.0512977346028442,0.391644790612854,0.0178569725811236,-0.0990391116038491
"BMERCRE MB",-0.0272519615669508,0.0560937178948052,0.442548039702333,0.0185930408634817,-1.42150258496056
"BMERCRE NC",-0.000772756938942131,0.0529298856750505,0.37899560492265,0.0182284291787665,0.00015313099740043
"BMERIND F",0.0244098791376065,0.248234984120684,0.36726260926204,0.0784094187001873,0.357700777177975
"BMERIND GB",0.020296305611553,0.247242460325014,0.366973632581598,0.0781197233349373,0.306183798840346
"BMERIND MB",-0.0114292017256969,0.238156757959812,0.364167698370777,0.0755136009775625,-0.105141863895695
"BMERIND P",-0.0058875527933398,0.240639776567353,0.366121904267998,0.0761397381489081,-0.0310167827419353
"BMERIND PV",0.000143796475031641,0.242541722142746,0.36703563948693,0.0766419810719223,0.0482451981410757
"BMERPAT B",0.00858337520883243,0.263396299461166,0.432982424140636,0.0772977511147847,0.160971763125257
"BMERPAT GB",0.0351485172680221,0.270627115136547,0.433699863703078,0.0793154901602973,0.493142586024601
"BMERPAT P",0.00855005253124626,0.264577945274799,0.438095636128478,0.0772085895831103,0.160950311149506
"BMERPAT PV",0.014670174092219,0.266399356267223,0.438598213841915,0.0776860841433513,0.239084725026909
"BNMPAT B2-A",0.0373463073565544,0.197330860603908,0.0176193968427755,0.281213418364199,0.143085889715425
"BNMPAT B3-A",0.0195554197044592,0.220351950076713,0.0359952279270922,0.219873374955461,0.103623724532835
"BNMPAT C0-A",0.0471497302847964,0.269361925848015,0.357137513486126,0.0868349910688277,0.588432385326977
"BNMPAT C0-C",0.0686693973974301,0.121039072203102,0.00337797002560141,0.393606393467912,0.178967892427627
"BNMPAT M0-A",-0.143315047387924,0.168764219092703,0.00573469019573979,0.419676994241073,-0.335596788758338
"CRECE+ B-1",-0.0398453729894206,0.27048337047346,0.121753088220524,0.145809773355459,-0.24608878885313
"CRECE+ B-2",-0.0389549742119361,0.102633983421733,0.0219778212111989,0.129488021150411,-0.28922476971204
"CRECE+ B-E",-0.0618279231624591,-0.0305000225352189,0.00336994184234716,0.0974187804885199,-0.639248617871195
"DIVER-A B",0.0050251103243835,0.0416029133626021,0.103423962152371,0.0228978447089855,0.246079562577597
"DIVER-A GB",0.0289766209470533,0.030441404318021,0.0482157764998473,0.0240259554341209,1.22461975555725
"DIVER-C GB",-0.00205541482024553,0.0271469180787385,0.309504934791593,0.0111454710568767,-0.148728404558477
"DIVER-C MB",-0.0248821170542109,0.0370947294669136,0.39643147749068,0.0138252126351261,-1.76044969362044
"DIVER-M B",-0.00891662568399236,0.0429388518512501,0.269272409785907,0.0170749416519776,-0.485358597535032
"DIVER-M GB",0.0161067140962022,0.0358107222509986,0.159703665971282,0.0157111862507338,1.05857226744407
"ELITE-C B1",-0.00955497338856769,0.00543793061627387,0.0121045113452181,0.0082034689256662,-1.15503513236044
"ELITE-M B1",0.00875586388494658,0.0206482704871341,0.0554911406002105,0.0171883079597707,0.527009988889944
"FONBNM B3-A",-0.00665891844455039,0.248913279242241,0.390047317978225,0.0764753154893686,-0.0393819747531309
"FONBNM C0-A",0.0289015172704121,0.261202383854908,0.395835508981752,0.0797472873890145,0.410405825103077
"FONBNM C0-C",0.0226957130662119,0.259487760591157,0.396023708274469,0.0792135457242337,0.334511270003654
"FONBNM C0-D",0.0196084393407366,0.258914982625869,0.396155488578524,0.0790309604449422,0.2961137935022
"FONBNM C1-A",0.0165369098783907,0.258200559334661,0.398188701708647,0.0786283042544638,0.258433146146272
"FONBNM C3-A",-0.0077585765613991,0.251601220696534,0.39481448250105,0.076951425940176,-0.0529167887122216
"FONBNM M0-A",0.0287228034978396,0.261399026048408,0.398219999287514,0.0795828679609523,0.409044303332032
"FONDOM2 B",0.0464504258196674,0.214099245706795,0.462389716712018,0.0600441997299505,0.825849747984011
"FONIBUR B",0.0224622405782945,0.0549774423396286,0.0296886392195391,0.0616500527516694,0.377417202003671
"GBMAAA BO",0.0101066723119634,0.111884258647031,0.146624014655969,0.0550184328810458,0.213492847172077
"GBMAGR B",0.124424619454906,0.156894916921819,0.131898933535856,0.0829635613154796,1.52745976476536
"GBMCRE BD",0.10755576329292,0.260591681567098,0.395044496861231,0.0822891856061243,1.35344697175946
"GBMCRE BO",0.0800901900994752,0.253642296013044,0.394601228338649,0.0802626682351784,1.04415480754709
"GBMINF BO",0.0652094819589708,0.319347469588799,0.314201291010477,0.110729387226035,0.631166495526826
"GBMIPC BO",0.000315700422379987,0.246635170603963,0.377683191585129,0.0769484740163566,0.0510665127844301
"GBMMOD BO",0.090156966234849,0.164122471078823,0.155314030541929,0.0806733122526296,1.14736517994765
"GBMPAGR B",0.0227953806428698,0.0901358957200389,0.179453348217914,0.0427826863396598,0.563687959156566
"GBMPCON B",-0.00150876772095114,0.0131406674095877,0.046816918310092,0.01315230948603,-0.100075640673702
"GBMPMOD B",0.00625352212124707,0.050853064439094,0.166698559755944,0.026257952931421,0.266534107306121
"GBMV1 BO",0.0821242207813223,0.225642907134531,0.371316403676163,0.074760197314585,1.14272603932658
"GOLD3+ B1-C",0.00309930513457519,0.0196114146916226,0.0263139564704476,0.0211524527067352,0.160107146372027
"HSBC-F2 BFP",-0.0121708412043357,0.0696991133321741,0.32036551461795,0.0249164928802057,-0.447478064061038
"HSBC-F2 BFV",-0.0109614423411856,0.0697565838083371,0.320160098249267,0.0249414596064733,-0.398506872180261
"HSBC-F3 BFA",-0.0075085360107961,0.105821851795368,0.321946502392925,0.0365813374186337,-0.162869798908614
"HSBC-F3 BFP",-0.00995472824877707,0.107127118791212,0.327934814801716,0.0367333221988764,-0.228268546106654
"HSBC-F3 BFS",-0.0107902482777649,0.106267862686305,0.325132690773271,0.0365767954261463,-0.252432508422767
"HSBC-F3 BFV",-0.00761295680625724,0.106066210305616,0.323164034643493,0.0366061387450731,-0.165514190816374
"HSBC-RV BFA",0.0303777010069751,0.251290366302642,0.34147721132361,0.0821249786876493,0.414730098094703
"HSBC-RV BFP",0.0241365590657475,0.249747633063546,0.341262082860997,0.0816517504081037,0.340420795494892
"HSBC-RV BFS",0.0142767106693034,0.247239665425003,0.340483243698021,0.0809268873311802,0.221179367589398
"HSBC-RV BFV",0.027859111904478,0.251135070708369,0.342120377932963,0.0820013615288432,0.384613564069114
"HSBC-RV BNF",0.0480091756726186,0.2482608665105,0.340971623394861,0.0814170624091059,0.634348430811497
"HSBCBOL BFA",0.00559241869338611,0.259639707036471,0.403513988719156,0.07840610039564,0.119847253428271
"HSBCBOL BFP",0.00541478677499284,0.242425411080271,0.350366729271346,0.0784449134452255,0.114308158886846
"HSBCBOL BFS",-0.0101436639323834,0.255283223168764,0.402717105630999,0.077183117704694,-0.0829606246274831
"HSBCBOL BFV",0.0108060474428084,0.225380187715119,0.295156389468221,0.0792378315718135,0.178051330986914
"HSBCBOL BNF",0.0203074444717789,0.26311042763387,0.40345962544892,0.0794452294611014,0.304142061261395
"IBUPLUS B",0.0151431329703801,0.0795491643377916,0.0847651262321373,0.0536847210090884,0.303786933492332
"INBURSA B-3",0.0138638107726316,0.0492541531016176,0.0317340113765795,0.053721990842429,0.271499634063946
"INTEC B",-0.0272565970931909,-0.0164650154175205,0.00303253390041964,0.0550879222805634,-0.499162928190229
"INTERDV B",-0.00769707781775042,0.206754290209847,0.241265187372957,0.0796646700920972,-0.0585910595469503
"INVEXMX BE",-0.020024044293701,0.308664481087008,0.435620141236651,0.091502712252657,-0.169408946308944
"INVEXMX BMF",-0.0211196362675268,0.308660729940466,0.436003193247808,0.0914659695860376,-0.181455737901893
"ISOLIDO B",-0.0249389228040182,0.252898188865018,0.380438336327596,0.0773316704231109,-0.274575278360816
"IXE1 BI",0.00958029256756421,0.0401318851593819,0.18978639012684,0.019725364046948,0.515494658512426
"IXE1 F2",-0.00620267667872528,0.0347375512688749,0.155598442648821,0.0187493161600999,-0.30367450050389
"IXE1 F3",-0.0106374897097659,0.0360869140159976,0.165927017835799,0.0189355093371091,-0.533850487375649
"IXE1 I2",-0.0053663840462602,0.0330284913256021,0.150619520446515,0.017860643675505,-0.273362956835787
"IXE1 I3",-0.00979123833048211,0.0343498361072147,0.161454284388747,0.0180248661263461,-0.515284371735069
"IXE2 BI",0.0154194400588589,0.0522469641732783,0.126301878909023,0.0293082692439532,0.552232606504375
"IXE2 F2",-0.00298604660180742,0.0512376735155885,0.124882151439872,0.0289643498448527,-0.0771739485338571
"IXE2 F3",-0.00663360574286595,0.0510315854451746,0.124478218142647,0.0289026462771593,-0.203644746143635
"IXE2 I2",-0.00219879593945487,0.0495772666284909,0.121308583871075,0.0282560759857419,-0.0521081369872357
"IXE3 BI",0.0242688100208057,0.101542631848745,0.191663150823982,0.0451622488829395,0.570313721856613
"IXE3 F2",0.00317884548952095,0.104331169113069,0.204955720718505,0.0450318554245618,0.104538095362224
"IXE3 F3",0.000369821818211256,0.102294800910714,0.19952915603725,0.0447203269641338,0.0417859893165247
"IXE3 I2",0.00387549027087859,0.102871509750806,0.203224935921895,0.0444884503483555,0.120993239069076
"IXE3 I3",0.0274851472646573,0.225669726734061,0.225105357522453,0.0920553634382228,0.334491576379115
"IXECON API-F",0.0218469582825754,0.183594396721161,0.216039940995262,0.0751846540704797,0.326357175446004
"IXECON BI",0.0292732167545359,0.185025367911436,0.21654537385447,0.0756870438039557,0.422585892159761
"IXECON BS",0.0297257884275342,0.184658341001053,0.215208903012952,0.0757620989921841,0.428069855786738
"IXECON F1",0.011997116824161,0.182182650585736,0.216755153588766,0.0744952385398999,0.196878683006485
"IXECON F2",0.00588715054948423,0.1808216032958,0.216246820256865,0.0740257418743618,0.115319554988431
"IXEESP BF1",0.0889175391478787,-0.0535259953467679,0.0078987751660149,0.115586679645139,0.762486271968508
"IXEESP BF2",0.102165331107663,-0.0539923876722287,0.00785137585003963,0.116925331878067,0.866999588800457
"IXEESP BI",0.120972502087317,-0.0547842267244648,0.0078112505402437,0.1189158241031,1.01054493147372
"MAYA B1",0.00695447526866128,0.188233221660745,0.307070332899767,0.0657869530852661,0.1476362356053
"MAYA B2",0.0152332977596156,0.193133902144357,0.309143876418454,0.0674133823712236,0.267946311925589
"MAYA B3",0.0235776942672052,0.198474789217295,0.310687263698065,0.0692289947566203,0.382582766596287
"MAYA D",0.0196844513350559,0.196400003667739,0.311959662259858,0.0682959489995441,0.330358933658446
"MIFIPC B",-0.0065378131241919,0.253681955808862,0.387586514431645,0.0781363146361784,-0.0361006431193259
"MONEXCR BEC-1",0.0129369129341244,0.287963091477154,0.439649749723874,0.0839233831359316,0.204427587361285
"MONEXCR BFC-1",0.00134491220662122,0.269802205168251,0.424809978462167,0.0797307080859854,0.0664506074140723
"MONEXCR BFC-2",-0.00469623174712525,0.268236067440669,0.424847522801092,0.0792707378976341,-0.00966229937894111
"MONEXCR BFC-3",-0.0109555399730153,0.267255124732948,0.425401282572131,0.0789619565872047,-0.0891520330466184
"MONEXCR BFD",0.0340153347389327,0.289152692708844,0.43966987604534,0.0840523397693244,0.455098657872367
"MULTIPC B",-0.0158863178977665,0.235967118884804,0.350170436546573,0.0763176527894109,-0.162856690113708
"NAFINDX F1",-0.00559989847551436,0.247993640932339,0.377088533425864,0.0773641959648379,-0.0254149071310852
"NTE+EMP I1",-0.0123956401184013,0.00470857437491746,0.000651247995907716,0.0325773317677672,-0.378381152627584
"NUMC B0-B",0.110784855463233,0.573768494159474,0.707714599925039,0.131109177886477,0.909104349038526
"NUMRV B0-A",0.119670731227174,0.365592097207633,0.42522569063261,0.107068088408151,1.16773843462889
"NUMRV B3-A",0.0810776615692311,0.352953851428506,0.424591903668457,0.103475453407166,0.833523982775074
"NUMRV C0-A",0.12021646245066,0.366181716625979,0.425704620992069,0.107182008535218,1.17166952008204
"OM-RVMX B",0.0221949016353288,0.265755075047051,0.39202791810604,0.0807265708198885,0.323175419159504
"OM-RVMX E",0.0224523870881126,0.267134478383731,0.394879158863659,0.0808647552654146,0.326057257658597
"PRINLS2 FA",0.0450748962514477,0.00904690920854799,0.00425319782423685,0.0240537632155003,1.8794337712895
"PRINLS2 FB",0.0336391514256856,0.00890170225203464,0.00420741102643735,0.0237764371398136,1.42029616394582
"PRINLS2 FC",0.0261047209600374,0.00884634959585884,0.00421356249829865,0.0236007322255753,1.11159012771189
"PRINLS2 XC",0.0356966671128738,0.00798282259845342,0.003335957791159,0.0238774356212103,1.49989450092165
"PRINLS3 FA",0.0563592150985948,-0.00432848417222915,0.000603685460814277,0.031000237955255,1.81597936853277
"PRINLS3 FB",0.0436255347478362,-0.00439418518981771,0.000636174864592614,0.030629422729705,1.4221994944004
"PRINLS3 FC",0.0373276635028748,-0.00446683296259518,0.000664621856041939,0.0304517772719245,1.22364660296196
"PRINLS3 XC",0.0455317367785453,-0.00486800463387594,0.000774579178520961,0.0307346461817818,1.47912582770333
"PRINRVA FA",0.0260302136893971,0.293304490563928,0.476907094186924,0.0827155096026249,0.366652152602842
"PRINRVA FB",0.0260265995078421,0.293219265470615,0.476465308353694,0.0827268942017106,0.366542912203863
"PRINRVA FC",0.0198437677118776,0.291877054714996,0.476953252509741,0.0823169043697858,0.293019502351024
"PRINRVA FF",0.0638954044944468,0.304133741303432,0.477329643081123,0.0856433679785272,0.79809664493608
"PRINRVA XB",0.0260887688417364,0.293285661496732,0.477048102193641,0.0826966596708255,0.367440462919215
"PRINRVA XC",0.0462651378291881,0.248870329810571,0.383390114090161,0.0778739364203929,0.640929177504089
"PROF-1A B",-0.018871803688788,0.0355939406358018,0.4834013314918,0.0134422715855384,-1.36511660094134
"PROF-3A B",-0.00699104098975017,0.0555987019944168,0.219508033590723,0.0254512313325784,-0.242675419039886
"SBMIX B",-0.015650904920083,0.00834612425595861,0.010010824984332,0.0152521760346668,-1.01812452091679
"SCOT-RV L",-0.00241737825566015,0.247024762645949,0.292687075545576,0.0862376687115812,0.0139396161656748
"SCOTIPC L",-0.00769046269678479,0.243398055649967,0.372211009894551,0.0764168375823586,-0.0539685287175016
"SCOTIPC TF",-0.0104107123724967,0.233053494126768,0.34332083315752,0.0759367844785138,-0.0921282927860868
"SELECTC B1",-0.0153080923994469,0.0124763644397494,0.0292041900367293,0.0124278164163502,-1.21705081431284
"SELECTD B1",0.0336924217543528,-0.132399914438708,0.0720984630051497,0.0932137032268486,0.340641430412402
"STER-GR B",0.0526881621993194,0.535805121651722,0.512634600430632,0.143786600023947,0.421033511854682
"STER-OP B1",-0.0174541629589379,0.0402755768781788,0.00610025620812043,0.0941855006812572,-0.179051235878742
"SURIPC BDF",6.88830623953808e-06,0.24137221341459,0.361472786575555,0.0768429802274302,0.0461143400306751
"SURIPC BF",-0.0150054716037321,0.237876328512644,0.361500972210074,0.0757403253933448,-0.15209889224166
"SURIPC BOE2",0.015265662080682,0.245272601120294,0.362098250471165,0.0780039196338464,0.24177614543614
"SURIPC BOE4",0.00915479616091512,0.243694738196334,0.361444515028045,0.0775734282691469,0.164044595560063
"SURPAT BDF",0.0302364494389286,0.322804783352561,0.473309013266939,0.0905471274711012,0.386166912024575
"SURPAT BOE1",0.0555095758068259,0.330403236631831,0.472694291039839,0.0926901891580531,0.651101986890474
"SURPAT BOE2",0.0491488608668787,0.328502676412646,0.472842067397887,0.0921531982709605,0.58557060076895
"SVIVE20 B",0.00902752967159639,0.123053859880907,0.336297789238688,0.0396844102102825,0.272917256841681
"SVIVE20 S",0.0247560403831829,0.12426695602617,0.33117078855166,0.0403419657244385,0.65878906349859
"SVIVE35 S",0.0218923808255428,0.126538007306483,0.418729607013789,0.037387659614074,0.635141722984085
"SVIVE50 S",0.00987850454601644,0.0948676796611754,0.436752759711142,0.0289190410449328,0.389658180069455
"VALMX20 B0",0.0208954261301589,0.259068653011288,0.388006895966868,0.0798343643356259,0.309282802358895
"VALMX20 B1",-0.000490461968414148,0.253530495945748,0.387238997393123,0.0782243724544366,0.0412193872483896
"VALMX20 B2",-0.00050081500389063,0.25373333999936,0.388012747203368,0.0782127756682942,0.0411311295840373
"VALMX24 B0",0.0229407706879422,0.205510966351983,0.214854362705199,0.0843630557872415,0.307622728847281
"VALMX24 B1",-0.0224790431329596,0.196266850614493,0.21387912324863,0.0807673513295218,-0.242712782683401
"VALMXA B0",0.0322657580942863,-0.0369020013282669,0.0213493348726669,0.0439967366928765,0.72107748657144
"VALMXA B1",0.0178928284101825,-0.0364346906275259,0.0213527785958989,0.0433880209824435,0.400086785339293
"VALMXA B2",0.0179015944029508,-0.0364738023536864,0.0213954297577351,0.043391162949935,0.400246630181765
"VALMXB B0",-0.00504587174745709,0.0658620340879283,0.271602041351734,0.0233134270382052,-0.175042341008458
"VALMXB B1",0.00468261981374406,-0.0169716694981754,0.0133472319432309,0.0243387338606953,0.182176470465043
"VALMXB B2",0.00468416474945279,-0.0169840479601363,0.0133708866126337,0.0243351665991578,0.182259208054294
"VALMXC B0",-0.00653370208573581,0.0183611823113032,0.0763935998395155,0.0159913383204138,-0.391753780749489
"VALMXC B1",-0.00869323078354835,-0.00351895234367173,0.00356073120871014,0.00973385675521254,-0.898389199236666
"VALMXC B2",-0.00869451635397383,-0.00350939228289903,0.00354072444670263,0.00973455430377702,-0.898442496261263
"VALUEV6 B",0.14046257317098,0.373273819728886,0.352864596097011,0.119883919872167,1.21727684161116
"VECTCR F",-0.0431520547457961,0.318555021099493,0.521875089587206,0.0858936453162607,-0.448047914654936
"VECTCR X",-0.0617372173953627,0.330806227261162,0.536741902088069,0.0880191658391756,-0.64633789204738
"VECTIND F",-0.000591382023060879,0.251247592906106,0.387494696652861,0.0773828992389595,0.0399311829340737
"VECTIND X",-0.000205188287805163,0.251233755115947,0.386928325145004,0.077432269806517,0.0448906081792233
"VECTPA F",-0.0134156043988502,0.364202644428705,0.639694272039689,0.0882386262044116,-0.0915604967293827
