,"alpha v BMV - w/ CETES 364D","beta v BMV - w/ CETES 364D","r-squared","standar deviation","Sharpe Ratio - w/ CETES 364D","pvalues.clust w/sig.=0.05","pvalues.clust w/sig.=0.10","pvalues.clust w/sig.=0.15","pvalues.clust w/sig.=0.25","pvalues.clust w/sig.=0.35","pvalues.clust w/sig.=0.50","pvalues.clust w/sig.=0.65","pvalues.clust w/sig.=0.75","pvalues.clust w/sig.=0.85","pvalues.clust w/sig.=0.95","pvalues.clust w/sig.=1.00"
"BMV",-3.43605400016196E-18,1,1,0.1916907142,0.0764375583,1,1,1,1,1,1,1,1,1,1,1
"ACCIPAT B0-B",0.1066945525,0.3119506109,0.3228459499,0.1042446147,1.0673488378,2,2,2,3,2,4,3,2,2,8,8
"ACCIPAT C0-B",0.1072954873,0.3131455836,0.3242875341,0.1044197144,1.0714816918,1,1,1,1,1,1,1,1,1,3,3
"ACTICRE B",0.0193549246,0.3851341851,0.4416177099,0.1123630137,0.2224758165,1,1,1,1,1,1,1,1,2,8,1
"ACTICRE FF",0.0509882875,0.3962472273,0.4428782925,0.1153523459,0.4923545165,1,1,1,1,1,1,1,2,2,1,2
"ACTINTK FF",-0.3612738795,-0.1192203861,0.0098435927,0.222942392,-1.6283163446,1,1,1,1,1,1,1,1,1,1,1
"ACTIPAT B",0.0311888416,0.2730898263,0.4123946066,0.0817876553,0.4302636469,1,1,2,1,4,13,50,63,24,1,45
"ACTIPAT FF",0.0584694919,0.2416324728,0.3919637981,0.0746218714,0.8309893495,1,1,1,1,1,1,1,1,19,19,8
"ACTIVAR B",-0.0012413038,0.2380560095,0.3518053336,0.0768867432,0.0292219549,2,1,2,2,2,15,3,50,58,70,74
"ACTIVAR FF",0.0173608192,0.2280203036,0.3436375818,0.0745779216,0.2775869412,1,1,1,1,1,1,1,1,1,1,1
"B+RV F",0.0506993097,0.2616326777,0.4361253262,0.0769486338,0.7086915762,1,1,2,7,4,21,26,12,66,83,40
"B+RV GB",0.0464921769,0.2595655743,0.4356380783,0.0764137978,0.6581982464,1,1,1,3,9,6,36,45,53,7,4
"B+RV NC",-0.0057032507,-0.0723456201,0.0619467141,0.0534243855,-0.126595475,1,1,1,1,2,1,3,1,1,1,2
"B+RV P",0.0191506885,0.2629717945,0.4527890883,0.0761642904,0.3020293164,1,1,1,7,14,9,48,56,64,28,29
"B+RV PV",0.0257164235,0.2551966061,0.434800765,0.0752115291,0.3916375446,1,1,1,3,2,11,51,18,17,39,41
"BMERCRE GB",-0.0025201721,0.0512977346,0.3916447906,0.0178569726,-0.0990391116,2,1,2,2,7,8,46,8,13,13,14
"BMERCRE MB",-0.0272519616,0.0560937179,0.4425480397,0.0185930409,-1.421502585,1,1,1,3,2,5,21,29,12,15,4
"BMERCRE NC",-0.0007727569,0.0529298857,0.3789956049,0.0182284292,0.000153131,1,2,3,9,4,24,5,7,10,11,13
"BMERIND F",0.0244098791,0.2482349841,0.3672626093,0.0784094187,0.3577007772,1,1,1,7,10,17,47,58,34,18,17
"BMERIND GB",0.0202963056,0.2472424603,0.3669736326,0.0781197233,0.3061837988,2,2,2,3,17,30,13,20,26,31,32
"BMERIND MB",-0.0114292017,0.238156758,0.3641676984,0.075513601,-0.1051418639,2,2,4,9,8,21,26,5,5,5,7
"BMERIND P",-0.0058875528,0.2406397766,0.3661219043,0.0761397381,-0.0310167827,1,3,6,7,15,7,7,22,9,10,10
"BMERIND PV",0.0001437965,0.2425417221,0.3670356395,0.0766419811,0.0482451981,3,2,7,4,6,19,43,52,60,72,76
"BMERPAT B",0.0085833752,0.2633962995,0.4329824241,0.0772977511,0.1609717631,2,2,2,14,11,28,37,46,54,65,69
"BMERPAT GB",0.0351485173,0.2706271151,0.4336998637,0.0793154902,0.493142586,1,1,1,7,2,16,21,2,12,23,9
"BMERPAT P",0.0085500525,0.2645779453,0.4380956361,0.0772085896,0.1609503111,1,1,3,13,5,13,33,42,50,62,66
"BMERPAT PV",0.0146701741,0.2663993563,0.4385982138,0.0776860841,0.239084725,1,1,1,9,8,20,27,34,41,52,55
"BNMPAT B2-A",0.0373463074,0.1973308606,0.0176193968,0.2812134184,0.1430858897,1,1,1,1,1,1,1,1,1,1,1
"BNMPAT B3-A",0.0195554197,0.2203519501,0.0359952279,0.219873375,0.1036237245,1,1,1,1,1,1,1,1,1,1,1
"BNMPAT C0-A",0.0471497303,0.2693619258,0.3571375135,0.0868349911,0.5884323853,1,1,1,3,1,25,50,61,67,8,21
"BNMPAT C0-C",0.0686693974,0.1210390722,0.00337797,0.3936063935,0.1789678924,1,1,1,1,1,1,1,1,1,1,1
"BNMPAT M0-A",-0.1433150474,0.1687642191,0.0057346902,0.4196769942,-0.3355967888,1,1,1,1,1,1,1,1,1,1,1
"CRECE+ B-1",-0.039845373,0.2704833705,0.1217530882,0.1458097734,-0.2460887889,1,1,1,1,1,1,1,1,1,1,1
"CRECE+ B-2",-0.0389549742,0.1026339834,0.0219778212,0.1294880212,-0.2892247697,1,1,1,1,2,4,28,27,6,3,3
"CRECE+ B-E",-0.0618279232,-0.0305000225,0.0033699418,0.0974187805,-0.6392486179,1,1,1,1,1,1,3,2,2,2,2
"DIVER-A B",0.0050251103,0.0416029134,0.1034239622,0.0228978447,0.2460795626,1,1,1,1,7,7,47,62,25,41,43
"DIVER-A GB",0.0289766209,0.0304414043,0.0482157765,0.0240259554,1.2246197556,1,1,1,3,3,2,1,61,5,5,88
"DIVER-C GB",-0.0020554148,0.0271469181,0.3095049348,0.0111454711,-0.1487284046,1,1,1,1,1,1,1,1,1,1,1
"DIVER-C MB",-0.0248821171,0.0370947295,0.3964314775,0.0138252126,-1.7604496936,1,1,1,1,1,1,3,2,6,3,3
"DIVER-M B",-0.0089166257,0.0429388519,0.2692724098,0.0170749417,-0.4853585975,1,1,1,3,2,5,6,3,3,6,15
"DIVER-M GB",0.0161067141,0.0358107223,0.159703666,0.0157111863,1.0585722674,1,1,1,3,2,4,51,63,68,81,8
"ELITE-C B1",-0.0095549734,0.0054379306,0.0121045113,0.0082034689,-1.1550351324,1,1,1,1,1,1,3,2,2,2,2
"ELITE-M B1",0.0087558639,0.0206482705,0.0554911406,0.017188308,0.5270099889,1,1,1,1,2,4,28,27,6,3,3
"FONBNM B3-A",-0.0066589184,0.2489132792,0.390047318,0.0764753155,-0.0393819748,1,1,1,5,12,14,12,56,64,14,80
"FONBNM C0-A",0.0289015173,0.2612023839,0.395835509,0.0797472874,0.4104058251,1,1,2,3,1,4,24,29,39,77,83
"FONBNM C0-C",0.0226957131,0.2594877606,0.3960237083,0.0792135457,0.33451127,1,2,2,1,13,18,20,28,35,51,54
"FONBNM C0-D",0.0196084393,0.2589149826,0.3961554886,0.0790309604,0.2961137935,1,8,3,13,19,27,36,44,20,25,24
"FONBNM C1-A",0.0165369099,0.2582005593,0.3981887017,0.0786283043,0.2584331461,1,8,1,2,20,34,45,23,29,34,35
"FONBNM C3-A",-0.0077585766,0.2516012207,0.3948144825,0.0769514259,-0.0529167887,5,7,3,8,11,11,48,9,11,12,34
"FONBNM M0-A",0.0287228035,0.261399026,0.3982199993,0.079582868,0.4090443033,2,2,1,9,3,5,2,62,70,16,87
"FONDOM2 B",0.0464504258,0.2140992457,0.4623897167,0.0600441997,0.825849748,1,1,1,1,1,1,1,1,1,1,1
"FONIBUR B",0.0224622406,0.0549774423,0.0296886392,0.0616500528,0.377417202,1,1,1,1,1,1,1,1,2,2,2
"GBMAAA BO",0.0101066723,0.1118842586,0.1466240147,0.0550184329,0.2134928472,1,1,1,1,1,1,24,12,66,77,83
"GBMAGR B",0.1244246195,0.1568949169,0.1318989335,0.0829635613,1.5274597648,1,1,1,1,1,1,1,1,1,1,1
"GBMCRE BD",0.1075557633,0.2605916816,0.3950444969,0.0822891856,1.3534469718,1,1,1,1,1,1,1,1,1,1,1
"GBMCRE BO",0.0800901901,0.253642296,0.3946012283,0.0802626682,1.0441548075,1,1,1,1,1,1,1,1,1,2,2
"GBMINF BO",0.065209482,0.3193474696,0.314201291,0.1107293872,0.6311664955,1,1,1,1,1,1,1,1,1,1,1
"GBMIPC BO",0.0003157004,0.2466351706,0.3776831916,0.076948474,0.0510665128,5,5,3,6,17,5,40,48,57,68,72
"GBMMOD BO",0.0901569662,0.1641224711,0.1553140305,0.0806733123,1.1473651799,1,1,1,1,1,4,3,2,2,1,1
"GBMPAGR B",0.0227953806,0.0901358957,0.1794533482,0.0427826863,0.5636879592,1,1,1,1,1,1,36,45,3,80,86
"GBMPCON B",-0.0015087677,0.0131406674,0.0468169183,0.0131523095,-0.1000756407,1,1,1,7,3,5,11,58,4,4,5
"GBMPMOD B",0.0062535221,0.0508530644,0.1666985598,0.0262579529,0.2665341073,1,1,1,1,1,2,2,64,65,79,10
"GBMV1 BO",0.0821242208,0.2256429071,0.3713164037,0.0747601973,1.1427260393,1,1,1,1,1,1,1,1,1,1,1
"GOLD3+ B1-C",0.0030993051,0.0196114147,0.0263139565,0.0211524527,0.1601071464,1,1,1,1,2,16,4,45,66,80,4
"HSBC-F2 BFP",-0.0121708412,0.0696991133,0.3203655146,0.0249164929,-0.4474780641,2,2,2,10,14,13,2,18,24,29,30
"HSBC-F2 BFV",-0.0109614423,0.0697565838,0.3201600982,0.0249414596,-0.3985068722,1,1,1,14,6,9,22,30,17,22,12
"HSBC-F3 BFA",-0.007508536,0.1058218518,0.3219465024,0.0365813374,-0.1628697989,1,1,9,5,15,17,10,13,34,43,46
"HSBC-F3 BFP",-0.0099547282,0.1071271188,0.3279348148,0.0367333222,-0.2282685461,1,8,1,9,13,8,9,11,15,51,54
"HSBC-F3 BFS",-0.0107902483,0.1062678627,0.3251326908,0.0365767954,-0.2524325084,2,2,3,13,8,24,8,10,14,20,19
"HSBC-F3 BFV",-0.0076129568,0.1060662103,0.3231640346,0.0366061387,-0.1655141908,2,3,4,6,10,18,20,28,35,44,47
"HSBC-RV BFA",0.030377701,0.2512903663,0.3414772113,0.0821249787,0.4147300981,1,1,1,1,15,7,17,27,33,17,16
"HSBC-RV BFP",0.0241365591,0.2497476331,0.3412620829,0.0816517504,0.3404207955,1,1,1,2,11,5,18,26,8,19,39
"HSBC-RV BFS",0.0142767107,0.2472396654,0.3404832437,0.0809268873,0.2211793676,1,1,1,2,13,3,4,4,45,56,60
"HSBC-RV BFV",0.0278591119,0.2511350707,0.3421203779,0.0820013615,0.3846135641,1,2,2,4,12,10,3,57,18,24,22
"HSBC-RV BNF",0.0480091757,0.2482608665,0.3409716234,0.0814170624,0.6343484308,1,1,1,1,1,1,1,1,1,1,1
"HSBCBOL BFA",0.0055924187,0.259639707,0.4035139887,0.0784061004,0.1198472534,1,1,2,3,4,21,1,2,43,54,58
"HSBCBOL BFP",0.0054147868,0.2424254111,0.3503667293,0.0784449134,0.1143081589,1,2,9,7,3,6,31,40,48,60,64
"HSBCBOL BFS",-0.0101436639,0.2552832232,0.4027171056,0.0771831177,-0.0829606246,1,1,2,1,9,25,6,6,67,16,57
"HSBCBOL BFV",0.0108060474,0.2253801877,0.2951563895,0.0792378316,0.178051331,1,1,1,1,10,1,28,35,42,53,56
"HSBCBOL BNF",0.0203074445,0.2631104276,0.4034596254,0.0794452295,0.3041420613,1,1,4,10,8,26,35,14,16,21,20
"IBUPLUS B",0.015143133,0.0795491643,0.0847651262,0.053684721,0.3037869335,1,1,1,3,11,6,28,2,6,19,4
"INBURSA B-3",0.0138638108,0.0492541531,0.0317340114,0.0537219908,0.2714996341,1,1,1,1,2,4,3,27,53,8,48
"INTEC B",-0.0272565971,-0.0164650154,0.0030325339,0.0550879223,-0.4991629282,1,1,1,1,1,4,36,2,2,19,8
"INTERDV B",-0.0076970778,0.2067542902,0.2412651874,0.0796646701,-0.0585910595,1,1,1,1,1,1,1,1,19,2,1
"INVEXMX BE",-0.0200240443,0.3086644811,0.4356201412,0.0915027123,-0.1694089463,1,1,1,1,1,1,1,12,53,1,1
"INVEXMX BMF",-0.0211196363,0.3086607299,0.4360031932,0.0914659696,-0.1814557379,2,2,2,3,2,4,3,2,2,2,12
"ISOLIDO B",-0.0249389228,0.2528981889,0.3804383363,0.0773316704,-0.2745752784,1,1,1,1,1,6,28,45,53,8,4
"IXE1 BI",0.0095802926,0.0401318852,0.1897863901,0.019725364,0.5154946585,1,1,1,2,3,29,50,60,69,83,40
"IXE1 F2",-0.0062026767,0.0347375513,0.1555984426,0.0187493162,-0.3036745005,2,2,2,13,17,11,23,16,71,82,26
"IXE1 F3",-0.0106374897,0.036086914,0.1659270178,0.0189355093,-0.5338504874,2,8,3,7,7,2,36,63,33,42,44
"IXE1 I2",-0.005366384,0.0330284913,0.1506195204,0.0178606437,-0.2733629568,1,1,1,1,8,10,15,15,21,26,25
"IXE1 I3",-0.0097912383,0.0343498361,0.1614542844,0.0180248661,-0.5152843717,1,3,4,2,4,3,49,19,32,40,42
"IXE2 BI",0.0154194401,0.0522469642,0.1263018789,0.0293082692,0.5522326065,1,1,2,7,8,21,26,5,23,78,7
"IXE2 F2",-0.0029860466,0.0512376735,0.1248821514,0.0289643498,-0.0771739485,2,2,4,8,19,15,16,25,31,37,38
"IXE2 F3",-0.0066336057,0.0510315854,0.1244782181,0.0289026463,-0.2036447461,1,1,5,11,12,12,14,36,44,55,59
"IXE2 I2",-0.0021987959,0.0495772666,0.1213085839,0.028256076,-0.052108137,1,1,3,4,11,14,17,24,70,36,37
"IXE3 BI",0.02426881,0.1015426318,0.1916631508,0.0451622489,0.5703137219,1,1,1,3,7,25,6,59,11,12,84
"IXE3 F2",0.0031788455,0.1043311691,0.2049557207,0.0450318554,0.1045380954,2,8,3,1,2,23,30,38,47,58,62
"IXE3 F3",0.0003698218,0.1022948009,0.199529156,0.044720327,0.0417859893,1,2,2,3,9,26,34,43,51,63,67
"IXE3 I2",0.0038754903,0.1028715098,0.2032249359,0.0444884503,0.1209932391,1,1,1,2,14,22,29,37,46,57,61
"IXE3 I3",0.0274851473,0.2256697267,0.2251053575,0.0920553634,0.3344915764,1,1,1,1,1,1,1,1,1,3,3
"IXECON API-F",0.0218469583,0.1835943967,0.216039941,0.0751846541,0.3263571754,1,1,1,3,7,24,2,39,6,59,63
"IXECON BI",0.0292732168,0.1850253679,0.2165453739,0.0756870438,0.4225858922,2,2,2,10,3,19,23,31,38,47,50
"IXECON BS",0.0297257884,0.184658341,0.215208903,0.075762099,0.4280698558,1,1,1,9,13,33,22,30,37,46,49
"IXECON F1",0.0119971168,0.1821826506,0.2167551536,0.0744952385,0.196878683,1,1,1,1,8,2,46,55,63,75,79
"IXECON F2",0.0058871505,0.1808216033,0.2162468203,0.0740257419,0.115319555,1,1,1,3,4,8,11,60,69,79,85
"IXEESP BF1",0.0889175391,-0.0535259953,0.0078987752,0.1155866796,0.762486272,1,1,1,1,1,4,1,1,1,1,1
"IXEESP BF2",0.1021653311,-0.0539923877,0.0078513759,0.1169253319,0.8669995888,1,1,1,1,1,1,3,2,2,2,2
"IXEESP BI",0.1209725021,-0.0547842267,0.0078112505,0.1189158241,1.0105449315,1,1,1,1,1,1,1,1,1,1,1
"MAYA B1",0.0069544753,0.1882332217,0.3070703329,0.0657869531,0.1476362356,1,1,1,7,1,16,26,33,40,50,53
"MAYA B2",0.0152332978,0.1931339021,0.3091438764,0.0674133824,0.2679463119,1,1,1,1,4,6,49,3,19,38,23
"MAYA B3",0.0235776943,0.1984747892,0.3106872637,0.0692289948,0.3825827666,1,1,1,1,1,3,28,6,9,10,12
"MAYA D",0.0196844513,0.1964000037,0.3119596623,0.068295949,0.3303589337,1,1,2,3,5,1,7,9,66,14,82
"MIFIPC B",-0.0065378131,0.2536819558,0.3875865144,0.0781363146,-0.0361006431,1,7,9,4,5,24,50,62,7,81,87
"MONEXCR BEC-1",0.0129369129,0.2879630915,0.4396497497,0.0839233831,0.2044275874,1,1,2,1,3,2,19,12,3,2,2
"MONEXCR BFC-1",0.0013449122,0.2698022052,0.4248099785,0.0797307081,0.0664506074,1,1,1,10,7,29,38,1,55,66,70
"MONEXCR BFC-2",-0.0046962317,0.2682360674,0.4248475228,0.0792707379,-0.0096622994,1,8,10,14,10,10,47,57,65,76,81
"MONEXCR BFC-3",-0.01095554,0.2672551247,0.4254012826,0.0789619566,-0.089152033,1,3,3,2,3,3,2,3,8,8,88
"MONEXCR BFD",0.0340153347,0.2891526927,0.439669876,0.0840523398,0.4550986579,1,1,1,1,11,1,51,64,71,82,57
"MULTIPC B",-0.0158863179,0.2359671189,0.3501704365,0.0763176528,-0.1628566901,1,1,3,7,4,2,4,45,3,7,9
"NAFINDX F1",-0.0055998985,0.2479936409,0.3770885334,0.077364196,-0.0254149071,2,2,4,3,13,4,17,58,28,33,82
"NTE+EMP I1",-0.0123956401,0.0047085744,0.000651248,0.0325773318,-0.3783811526,1,1,1,1,1,4,1,4,23,9,11
"NUMC B0-B",0.1107848555,0.5737684942,0.7077145999,0.1311091779,0.909104349,1,1,1,1,1,1,1,1,6,3,3
"NUMRV B0-A",0.1196707312,0.3655920972,0.4252256906,0.1070680884,1.1677384346,1,1,1,1,1,1,1,1,1,1,1
"NUMRV B3-A",0.0810776616,0.3529538514,0.4245919037,0.1034754534,0.8335239828,1,1,1,1,1,1,1,1,6,1,1
"NUMRV C0-A",0.1202164625,0.3661817166,0.425704621,0.1071820085,1.1716695201,2,2,2,3,2,4,3,2,2,2,2
"OM-RVMX B",0.0221949016,0.265755075,0.3920279181,0.0807265708,0.3231754192,2,2,2,13,9,31,16,61,30,35,36
"OM-RVMX E",0.0224523871,0.2671344784,0.3948791589,0.0808647553,0.3260572577,1,1,1,7,1,15,14,21,27,32,33
"PRINLS2 FA",0.0450748963,0.0090469092,0.0042531978,0.0240537632,1.8794337713,1,1,1,1,1,1,1,1,1,1,1
"PRINLS2 FB",0.0336391514,0.0089017023,0.004207411,0.0237764371,1.4202961639,1,2,2,3,4,6,36,45,19,8,4
"PRINLS2 FC",0.026104721,0.0088463496,0.0042135625,0.0236007322,1.1115901277,1,1,1,1,1,1,3,2,2,2,2
"PRINLS2 XC",0.0356966671,0.0079828226,0.0033359578,0.0238774356,1.4998945009,1,1,1,1,2,4,28,27,6,3,3
"PRINLS3 FA",0.0563592151,-0.0043284842,0.0006036855,0.031000238,1.8159793685,1,1,1,3,2,6,3,2,53,19,8
"PRINLS3 FB",0.0436255347,-0.0043941852,0.0006361749,0.0306294227,1.4221994944,1,2,2,2,7,5,2,63,8,7,15
"PRINLS3 FC",0.0373276635,-0.004466833,0.0006646219,0.0304517773,1.223646603,1,1,1,13,8,3,49,3,70,82,9
"PRINLS3 XC",0.0455317368,-0.0048680046,0.0007745792,0.0307346462,1.4791258277,1,1,1,7,3,2,4,12,3,6,12
"PRINRVA FA",0.0260302137,0.2933044906,0.4769070942,0.0827155096,0.3666521526,2,2,4,4,9,24,9,11,14,45,18
"PRINRVA FB",0.0260265995,0.2932192655,0.4764653084,0.0827268942,0.3665429122,1,1,1,2,3,21,1,1,1,15,28
"PRINRVA FC",0.0198437677,0.2918770547,0.4769532525,0.0823169044,0.2930195024,1,1,2,1,7,14,12,19,25,30,31
"PRINRVA FF",0.0638954045,0.3041337413,0.4773296431,0.085643368,0.7980966449,1,1,1,1,1,4,3,2,2,2,2
"PRINRVA XB",0.0260887688,0.2932856615,0.4770481022,0.0826966597,0.3674404629,5,8,3,9,11,29,8,10,36,48,51
"PRINRVA XC",0.0462651378,0.2488703298,0.3833901141,0.0778739364,0.6409291775,1,1,1,1,5,4,6,3,23,38,15
"PROF-1A B",-0.0188718037,0.0355939406,0.4834013315,0.0134422716,-1.3651166009,1,1,1,1,3,6,4,12,53,19,18
"PROF-3A B",-0.006991041,0.055598702,0.2195080336,0.0254512313,-0.242675419,1,1,1,3,2,6,28,27,6,7,9
"SBMIX B",-0.0156509049,0.0083461243,0.010010825,0.015252176,-1.0181245209,1,1,1,3,11,21,26,27,66,38,40
"SCOT-RV L",-0.0024173783,0.2470247626,0.2926870755,0.0862376687,0.0139396162,1,1,1,1,11,29,51,64,71,83,6
"SCOTIPC L",-0.0076904627,0.2433980556,0.3722110099,0.0764168376,-0.0539685287,2,8,5,10,14,9,15,59,68,78,84
"SCOTIPC TF",-0.0104107124,0.2330534941,0.3433208332,0.0759367845,-0.0921282928,1,8,1,13,7,16,49,61,70,80,86
"SELECTC B1",-0.0153080924,0.0124763644,0.02920419,0.0124278164,-1.2170508143,1,1,1,1,2,4,1,1,1,1,1
"SELECTD B1",0.0336924218,-0.1323999144,0.072098463,0.0932137032,0.3406414304,1,1,1,1,1,1,1,1,1,1,1
"STER-GR B",0.0526881622,0.5358051217,0.5126346004,0.1437866,0.4210335119,1,1,1,1,1,1,3,27,6,3,3
"STER-OP B1",-0.017454163,0.0402755769,0.0061002562,0.0941855007,-0.1790512359,1,1,1,1,1,1,1,1,1,1,8
"SURIPC BDF",6.88830623953808E-06,0.2413722134,0.3614727866,0.0768429802,0.04611434,4,3,8,9,19,33,44,53,61,73,77
"SURIPC BF",-0.0150054716,0.2378763285,0.3615009722,0.0757403254,-0.1520988922,2,2,2,3,2,6,28,27,19,6,15
"SURIPC BOE2",0.0152656621,0.2452726011,0.3620982505,0.0780039196,0.2417761454,1,1,1,7,2,4,25,32,2,49,52
"SURIPC BOE4",0.0091547962,0.2436947382,0.361444515,0.0775734283,0.1640445956,1,2,3,8,15,25,32,41,49,61,65
"SURPAT BDF",0.0302364494,0.3228047834,0.4733090133,0.0905471275,0.386166912,1,1,2,3,4,8,10,13,15,20,19
"SURPAT BOE1",0.0555095758,0.3304032366,0.472694291,0.0926901892,0.6511019869,1,1,1,1,11,16,28,27,3,6,12
"SURPAT BOE2",0.0491488609,0.3285026764,0.4728420674,0.0921531983,0.5855706008,1,1,1,9,2,5,3,4,6,9,11
"SVIVE20 B",0.0090275297,0.1230538599,0.3362977892,0.0396844102,0.2729172568,1,1,1,9,3,27,35,44,52,64,68
"SVIVE20 S",0.0247560404,0.124266956,0.3311707886,0.0403419657,0.6587890635,1,1,1,1,8,16,15,22,28,33,34
"SVIVE35 S",0.0218923808,0.1265380073,0.418729607,0.0373876596,0.635141723,1,1,1,1,4,6,4,4,7,6,6
"SVIVE50 S",0.0098785045,0.0948676797,0.4367527597,0.028919041,0.3896581801,1,1,1,1,1,1,3,2,19,3,3
"VALMX20 B0",0.0208954261,0.259068653,0.388006896,0.0798343643,0.3092828024,2,3,9,9,6,12,11,17,22,27,27
"VALMX20 B1",-0.000490462,0.2535304959,0.3872389974,0.0782243725,0.0412193872,1,4,4,1,16,30,39,47,56,67,71
"VALMX20 B2",-0.000500815,0.25373334,0.3880127472,0.0782127757,0.0411311296,2,7,6,12,18,32,42,51,59,71,75
"VALMX24 B0",0.0229407707,0.2055109664,0.2148543627,0.0843630558,0.3076227288,1,1,1,1,1,4,36,45,53,3,3
"VALMX24 B1",-0.0224790431,0.1962668506,0.2138791232,0.0807673513,-0.2427127827,1,1,1,1,2,4,3,27,6,3,3
"VALMXA B0",0.0322657581,-0.0369020013,0.0213493349,0.0439967367,0.7210774866,1,1,1,1,1,1,28,1,1,16,15
"VALMXA B1",0.0178928284,-0.0364346906,0.0213527786,0.043388021,0.4000867853,2,2,2,9,11,16,3,27,71,7,57
"VALMXA B2",0.0179015944,-0.0364738024,0.0213954298,0.0433911629,0.4002466302,1,1,1,1,1,4,1,2,2,2,2
"VALMXB B0",-0.0050458717,0.0658620341,0.2716020414,0.023313427,-0.175042341,1,1,1,1,1,16,28,45,19,8,8
"VALMXB B1",0.0046826198,-0.0169716695,0.0133472319,0.0243387339,0.1821764705,2,2,3,7,4,21,24,64,39,48,51
"VALMXB B2",0.0046841647,-0.016984048,0.0133708866,0.0243351666,0.1822592081,1,1,2,3,2,6,21,29,36,45,48
"VALMXC B0",-0.0065337021,0.0183611823,0.0763935998,0.0159913383,-0.3917537807,1,1,1,3,2,4,26,5,8,9,11
"VALMXC B1",-0.0086932308,-0.0035189523,0.0035607312,0.0097338568,-0.8983891992,1,1,1,9,5,25,50,4,67,23,21
"VALMXC B2",-0.0086945164,-0.0035093923,0.0035407244,0.0097345543,-0.8984424963,2,2,2,4,9,29,51,61,23,83,28
"VALUEV6 B",0.1404625732,0.3732738197,0.3528645961,0.1198839199,1.2172768416,1,1,1,1,1,1,1,1,1,1,1
"VECTCR F",-0.0431520547,0.3185550211,0.5218750896,0.0858936453,-0.4480479147,1,1,1,1,1,1,1,1,1,1,2
"VECTCR X",-0.0617372174,0.3308062273,0.5367419021,0.0880191658,-0.646337892,1,1,1,1,1,4,3,2,2,2,1
"VECTIND F",-0.000591382,0.2512475929,0.3874946967,0.0773828992,0.0399311829,5,8,9,13,20,34,45,54,62,74,78
"VECTIND X",-0.0002051883,0.2512337551,0.3869283251,0.0774322698,0.0448906082,1,6,5,11,1,31,41,49,1,69,73
"VECTPA F",-0.0134156044,0.3642026444,0.639694272,0.0882386262,-0.0915604967,1,1,1,1,1,5,36,63,6,82,48
